prospect_tier,prospect_score,business_name,google_category,phone,address,city,website_url,has_website,website_structure_type,website_domain_type,needs_better_web_presence,contact_strength,review_signal,review_count,rating,pitch_fit,good_visual_potential,residential_signal,listing_url,matched_keywords,times_found,website_title,website_has_whatsapp_button,website_has_cta
top,23,Aluminio y Vidrio,Tienda de cristales y espejos,844 414 1695,"Gral. Victoriano Cepeda 852, Zona Centro, 25000 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,47,4.7,excellent,True,True,https://www.google.com/maps/place/Aluminio+y+Vidrio/data=!4m7!3m6!1s0x868872bacc5a638b:0x1bc807a5154328a8!8m2!3d25.4261998!4d-100.9939003!16s%2Fg%2F11bwqrh81q!19sChIJi2NazLpyiIYRqChDFaUHyBs?authuser=0&hl=es-419&rclk=1,cancelería;ventanas de aluminio;aluminio y vidrio,3,,False,False
top,23,Vidrio y aluminio Martinez Saltillo,Ventana de aluminio,844 259 3263,"Fermín Espinoza Armillita 1093, Residencial Plazas, 25298 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,47,4.7,excellent,True,True,https://www.google.com/maps/place/Vidrio+y+aluminio+Martinez+Saltillo/data=!4m7!3m6!1s0x8688131ca3f2eb57:0x670c3029700e5c3d!8m2!3d25.4506864!4d-100.9184961!16s%2Fg%2F11h94p6ypq!19sChIJV-vyoxwTiIYRPVwOcCkwDGc?authuser=0&hl=es-419&rclk=1,aluminio y vidrio;vidriería,2,,False,False
top,23,Vidrio y Aluminio Rivas,Servicio de instalación de ventanas,844 285 2691,"Calle Mariano Abasolo Sur 975, Benito Juárez, 25034 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,45,4.5,excellent,True,True,https://www.google.com/maps/place/Vidrio+y+Aluminio+Rivas/data=!4m7!3m6!1s0x868872c41e933d13:0x34a04c95124f74f0!8m2!3d25.4084767!4d-100.9965553!16s%2Fg%2F11bxc58x71!19sChIJEz2THsRyiIYR8HRPEpVMoDQ?authuser=0&hl=es-419&rclk=1,vidrio templado;ventanas de aluminio;canceles de baño;aluminio y vidrio,4,,False,False
top,23,vidrio y alminio boulevares,Tienda de cristales,844 155 6648,"Blvrd Oceanía BOULEVARES 426, Oceanía Boulevares, 25290 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,45,4.5,excellent,True,False,https://www.google.com/maps/place/vidrio+y+alminio+boulevares/data=!4m7!3m6!1s0x8688139f079bd2ef:0x6b29a86b55ded194!8m2!3d25.4478484!4d-100.9655908!16s%2Fg%2F11nxr_9r2d!19sChIJ79KbB58TiIYRlNHeVWuoKWs?authuser=0&hl=es-419&rclk=1,vidriería,1,,False,False
top,23,Vidrio y Aluminio del Oriente,Tienda de cristales y espejos,844 154 1686,"San Angel 347, San Ángel, 25298 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,44,4.4,excellent,True,True,https://www.google.com/maps/place/Vidrio+y+Aluminio+del+Oriente/data=!4m7!3m6!1s0x8688120a12bf537f:0x11fc6ab4839e9dda!8m2!3d25.4453334!4d-100.9085967!16s%2Fg%2F11bxdtyrqf!19sChIJf1O_EgoSiIYR2p2eg7Rq_BE?authuser=0&hl=es-419&rclk=1,aluminio y vidrio,1,,False,False
top,23,Vidrio y Aluminio Saltillo,Tienda de cristales y espejos,844 410 8284,"Forrajes 748, Magisterio Secc 38, 25294 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,43,4.3,excellent,True,True,https://www.google.com/maps/place/Vidrio+y+Aluminio+Saltillo/data=!4m7!3m6!1s0x868872aee384e3a3:0x49b74d3ae3976f64!8m2!3d25.4364336!4d-100.9535147!16s%2Fg%2F1tt8cq23!19sChIJo-OE465yiIYRZG-X4zpNt0k?authuser=0&hl=es-419&rclk=1,cancelería;vidrio templado;ventanas de aluminio;canceles de baño;aluminio y vidrio;vidriería,6,,False,False
top,23,Santa Cruz,Tienda de cristales y espejos,844 416 6423,"José María LaFragua 2305, Guanajuato, 25280 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,43,4.3,excellent,True,True,https://www.google.com/maps/place/Santa+Cruz/data=!4m7!3m6!1s0x86880d55393b06e1:0x152de1e91f882bad!8m2!3d25.4374765!4d-100.9799568!16s%2Fg%2F1tvdk6vc!19sChIJ4QY7OVUNiIYRrSuIH-nhLRU?authuser=0&hl=es-419&rclk=1,ventanas de aluminio,1,,False,False
top,23,Vidriería Cárdenas,Servicio de reparación de cristales,844 410 5961,"Lázaro Cárdenas 177, Pueblo Insurgente, 25137 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,43,4.3,excellent,True,False,https://www.google.com/maps/place/Vidrier%C3%ADa+C%C3%A1rdenas/data=!4m7!3m6!1s0x86886d64c53e14d1:0xd29b4a75d4762a95!8m2!3d25.4447334!4d-101.0137748!16s%2Fg%2F11cmspxqv5!19sChIJ0RQ-xWRtiIYRlSp21HVKm9I?authuser=0&hl=es-419&rclk=1,vidriería,1,,False,False
top,23,Vidrio y Aluminio El Águila,Servicio de instalación de ventanas,844 489 1581,"Julio Cervantes 140, Bellavista, 25060 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,42,4.2,excellent,True,True,https://www.google.com/maps/place/Vidrio+y+Aluminio+El+%C3%81guila/data=!4m7!3m6!1s0x868872ef4a2da239:0xaadfb4bb507cd23a!8m2!3d25.4032646!4d-101.0093405!16s%2Fg%2F11bx3ppm4w!19sChIJOaItSu9yiIYROtJ8ULu036o?authuser=0&hl=es-419&rclk=1,cancelería,1,,False,False
top,23,Vídrios y Canceles Rebeca,Servicio de reparación de cristales,844 203 9575,"Pedro Aranda 131, Bellavista, 25060 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,40,4.0,excellent,True,True,https://www.google.com/maps/place/V%C3%ADdrios+y+Canceles+Rebeca/data=!4m7!3m6!1s0x868872e9853fe7a9:0x536bb2be0af90b7f!8m2!3d25.4075425!4d-101.0056774!16s%2Fg%2F11cnw9zp5s!19sChIJqec_helyiIYRfwv5Cr6ya1M?authuser=0&hl=es-419&rclk=1,cancelería;canceles de baño,2,,False,False
top,23,El Cristal Vidrio y Aluminio,Tienda de cristales y espejos,844 412 1878,"C. Prol. Urdiñola 432 norte, Zona Centro, 25000 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,39,3.9,excellent,True,True,https://www.google.com/maps/place/El+Cristal+Vidrio+y+Aluminio/data=!4m7!3m6!1s0x868872b5d545f345:0x7ebff05c939a0fc5!8m2!3d25.4179035!4d-100.9863449!16s%2Fg%2F11cmspyj2d!19sChIJRfNF1bVyiIYRxQ-ak1zwv34?authuser=0&hl=es-419&rclk=1,vidrio templado;aluminio y vidrio;vidriería,3,,False,False
top,23,Vidrios y Canceles del Norte,Tienda de cristales y espejos,844 427 5280,"C. Otilio González, González Cepeda, 25030 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,33,3.3,excellent,True,True,https://www.google.com/maps/place/Vidrios+y+Canceles+del+Norte/data=!4m7!3m6!1s0x868872cbd0a3d963:0x2e84bcd9987dffab!8m2!3d25.4116228!4d-100.9859293!16s%2Fg%2F11bxb9wm1r!19sChIJY9mj0MtyiIYRq_99mNm8hC4?authuser=0&hl=es-419&rclk=1,canceles de baño,1,,False,False
top,23,ALCANSA Aluminio y Canceles de Saltillo,Tienda de accesorios para ventanas,844 410 6946,"Calle Mariano Abasolo 372, Centro, 25000 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,medium,25,2.5,excellent,True,True,https://www.google.com/maps/place/ALCANSA+Aluminio+y+Canceles+de+Saltillo/data=!4m7!3m6!1s0x868872aa5ff81245:0xf3746fff3726e8a5!8m2!3d25.4194673!4d-100.9916291!16s%2Fg%2F1vc_qt0m!19sChIJRRL4X6pyiIYRpegmN_9vdPM?authuser=0&hl=es-419&rclk=1,cancelería;canceles de baño,2,,False,False
top,22,Vidrios y aluminios Saltillo D'plata,Constructor,,"Marcos Tezepoc 208, Nueva Tlaxcala, 25019 Saltillo, Coah.",Saltillo,https://www.facebook.com/juanito.plata.311,True,unknown,facebook_only,True,medium,high,50,5.0,excellent,True,False,https://www.google.com/maps/place/Vidrios+y+aluminios+Saltillo+D%27plata/data=!4m7!3m6!1s0x86880d019b9ba98d:0x5460053c3c354d6!8m2!3d25.4033167!4d-100.960626!16s%2Fg%2F11nmsc55jf!19sChIJjambmwENiIYR1lTDw1MARgU?authuser=0&hl=es-419&rclk=1,aluminio y vidrio,1,,False,False
top,21,Casa Cristal Vidrio y Aluminio,Tienda de cristales y espejos,844 369 4280,"José María LaFragua 981, Zona Centro, 25000 Saltillo, Coah.",Saltillo,http://casacristal.mx/,True,unknown,own_domain,True,strong,high,50,5.0,excellent,True,True,https://www.google.com/maps/place/Casa+Cristal+Vidrio+y+Aluminio/data=!4m7!3m6!1s0x86886d370973ffff:0x6b89b54778db9a6!8m2!3d25.4242568!4d-100.9857491!16s%2Fg%2F11rq2j2nz3!19sChIJ__9zCTdtiIYRprmNd1SbuAY?authuser=0&hl=es-419&rclk=1,cancelería;vidrio templado;canceles de baño,3,,False,False
top,21,Aluminio Y Vidrio Santa Laura,Electricista,844 414 7700,"Fernando Proal 915, Antonio Cárdenas, 25130 Saltillo, Coah.",Saltillo,https://www.aluminioyvidriosantalaura.com/,True,unknown,own_domain,True,strong,high,50,5.0,excellent,True,False,https://www.google.com/maps/place/Aluminio+Y+Vidrio+Santa+Laura/data=!4m7!3m6!1s0x8688729ded8c5d4d:0x7c89e1e54c4b1073!8m2!3d25.4358788!4d-101.010452!16s%2Fg%2F11hcdvj6dl!19sChIJTV2M7Z1yiIYRcxBLTOXhiXw?authuser=0&hl=es-419&rclk=1,ventanas de aluminio;canceles de baño,2,,False,False
top,21,Vidrios el Castillo,Ventana de aluminio,844 787 3283,"Nazario Ortiz Garza 3764, Nueva España, 25210 Saltillo, Coah.",Saltillo,https://www.vidrioselcastillo.com/,True,unknown,own_domain,True,strong,high,50,5.0,excellent,True,True,https://www.google.com/maps/place/Vidrios+el+Castillo/data=!4m7!3m6!1s0x86886d391ed02097:0x5bdb6fccd5bcdcc2!8m2!3d25.469637!4d-100.9807529!16s%2Fg%2F11k4vnk7y4!19sChIJlyDQHjltiIYRwty81cxv21s?authuser=0&hl=es-419&rclk=1,ventanas de aluminio;canceles de baño,2,,False,False
top,21,Canceleria aluminio,Ventana de aluminio,844 640 1699,"Postal Cerritos, 25019 Saltillo, Coah.",Saltillo,,False,unknown,none,True,strong,low,4,2.5,excellent,True,True,https://www.google.com/maps/place/Canceleria+aluminio/data=!4m7!3m6!1s0x86880d13ba567b13:0x6f10839d39ae70eb!8m2!3d25.4114381!4d-100.9549162!16s%2Fg%2F11wmh3k5qq!19sChIJE3tWuhMNiIYR63CuOZ2DEG8?authuser=0&hl=es-419&rclk=1,cancelería,1,,False,False
top,20,Vietro,Ventana de aluminio,844 439 1932,"Calle Mariano Abasolo Nte. 3605, Alpes, 25270 Saltillo, Coah.",Saltillo,http://www.vietroweb.com/,True,unknown,own_domain,True,strong,medium,47,4.7,excellent,True,True,https://www.google.com/maps/place/Vietro/data=!4m7!3m6!1s0x868813f97d608063:0x56585d1ad5144d54!8m2!3d25.4496297!4d-100.9765989!16s%2Fg%2F11fhtm2pkg!19sChIJY4BgffkTiIYRVE0U1RpdWFY?authuser=0&hl=es-419&rclk=1,vidrio templado;ventanas de aluminio,2,,False,False
top,20,Kristal,Tienda de accesorios para ventanas,844 412 0368,"Calle Gral. Ramón Corona 665, Zona Centro, 25000 Saltillo, Coah.",Saltillo,http://www.kristalycanceleria.com/,True,unknown,own_domain,True,strong,medium,42,4.2,excellent,True,True,https://www.google.com/maps/place/Kristal/data=!4m7!3m6!1s0x868872a35796ced9:0xf91d7fc6370f11e1!8m2!3d25.4310889!4d-101.0022963!16s%2Fg%2F1tdx93_3!19sChIJ2c6WV6NyiIYR4REPN8Z_Hfk?authuser=0&hl=es-419&rclk=1,cancelería;vidrio templado;ventanas de aluminio;canceles de baño,4,,False,False
